lat,lon,predicted
35.82307,-121.4863,0.658134964146703
36.09737,-121.7368,0.3053959587691572
36.74262,-122.1863,0.32335339954076897
37.54755,-122.7837,0.6600582721780816
37.72891,-123.1529,0.6351819005960412
37.77687,-123.2618,0.5423191600995272
36.88068,-122.82,0.25539288993511944
35.62114,-121.8342,0.48731498237926096
34.35547,-120.7134,0.37442002094833526
33.8037,-120.682,0.41661973683308706
33.76988,-120.7533,0.3385360376153802
34.01392,-120.6271,0.5124350343638367
34.17966,-120.6532,0.5695273075422703
34.11559,-120.605,0.5363659322056302
34.19794,-120.7795,0.5282687436449996
34.11011,-120.635,0.5619948177371527
34.12752,-120.551,0.6615434401357043
34.17448,-120.6538,0.5992081165669172
34.1371,-120.5467,0.7180406531569654
34.10046,-120.5598,0.7095060938933035
34.07022,-120.4935,0.7410135180917604
34.13955,-120.4463,0.7422189294916843
34.16187,-120.5623,0.7519510111978245
34.02543,-120.532,0.7403874575024941
34.42023,-120.7159,0.6396781877966832
34.1375,-120.4847,0.7285831688857622
34.17342,-120.2694,0.6752666754669254
34.22406,-120.4729,0.6113861687627724
34.08236,-120.474,0.6903375914485268
34.02103,-120.5707,0.6802921854734476
34.49112,-120.7248,0.5393717167509793
34.3293,-120.4549,0.6135559719964729
34.48686,-120.7142,0.673094890986819
34.42291,-120.6805,0.6333528327967355
34.44516,-120.7092,0.5553762839613541
34.48398,-120.6287,0.51673621466528
34.19608,-120.5654,0.6991205928569363
34.50371,-120.6991,0.6151767423103333
34.43966,-120.6265,0.6096014368786764
34.5231,-120.7111,0.577885131338202
34.59591,-120.7608,0.6450181775754878
34.58711,-120.8189,0.6661343162986962
34.11673,-120.4778,0.7165021270250427
33.99665,-120.4356,0.65360730393185
34.00586,-120.4983,0.7356320020849101
33.97616,-120.6071,0.4255398916696464
34.01952,-120.6044,0.5284740876805653
34.05177,-120.715,0.5290024990554517
33.95651,-120.6007,0.35578763266738817
33.93211,-120.5478,0.46857846822934546
33.97327,-120.4626,0.6336397530079243
32.84919,-119.8366,0.6828775191446232
31.24351,-118.9123,0.37478365047940665
30.10628,-118.4007,0.16717328195875153
35.574094,-121.883498,0.5697246102087847
35.63484,-121.696704,0.5279134374409065
35.692407,-121.755181,0.5304975985261663
36.197488,-122.27329,0.35883606350335034
36.179015,-121.95914,0.3862387028102694
36.709944,-122.195194,0.47265403352138313
38.160379,-123.269778,0.5464050725051471
38.235681,-123.154469,0.5869391287613048
38.329943,-123.187764,0.5668801990691523
38.229774,-123.324002,0.576551882535061
38.167629,-123.285948,0.5828788881044833
38.085004,-123.255216,0.6125115190874667
37.679417,-122.740515,0.6926265682130494
37.791615,-122.646056,0.4238249372250646
37.863348,-122.940871,0.2829485199387259
37.782735,-123.131795,0.6185673401817117
37.705394,-123.013058,0.6508190742759641
38.118162,-123.536441,0.42846510690078565
38.512293,-124.031624,0.283677043372237
38.579621,-124.011938,0.26287249652532624
38.692384,-124.025726,0.28482453131000884
38.509888,-123.953082,0.39210371210427153
38.516528,-124.016106,0.32105055296837237
38.616078,-124.672286,0.09284996683621487
37.866408,-124.011727,0.08722824778409978
37.849746,-124.051848,0.20162345812758156
37.619886,-124.646031,0.09612939204119353
37.65489,-124.636363,0.07176252973897537
38.285908,-124.430695,0.04941222880683965
38.279424,-124.293129,0.04903186693466958
38.272131,-123.926966,0.08825078082263761
38.159127,-124.242785,0.1078068763282349
37.936126,-124.923537,0.030235407268440994
37.993939,-124.867986,0.033876922358771114
38.048685,-124.916079,0.060466955327060874
38.597038,-125.358661,0.04262694104892745
38.54138,-125.048929,0.03286157342788146
38.65753,-125.22353,0.027232384390118575
38.559916,-125.418763,0.017541020646461677
38.492219,-125.391796,0.011436128884747907
37.838399,-125.129456,0.013061354701508163
37.335886,-124.970004,0.022597884570557163
37.440369,-125.014174,0.022418706829852086
37.160204,-124.897686,0.012655539264401232
37.272288,-124.937139,0.027890445656297592
37.25821,-125.019821,0.03313465168695908
37.207609,-124.918763,0.030346929422694086
37.596863,-125.309199,0.0284910066441018
37.485183,-125.291858,0.02542735151629118
37.821065,-125.435291,0.033702053336675517
37.836076,-125.399391,0.03542169404360007
38.17102,-124.940697,0.0222511959772986
38.095931,-125.025723,0.0354240607008092
37.648208,-125.565162,0.029634036159079245
37.563365,-125.451664,0.036782275608382604
37.734599,-125.077453,0.049136779388230085
38.138173,-123.897558,0.08259251598329745
38.31087,-123.359924,0.5857510427645215
38.342475,-123.310986,0.6710366696435123
38.095591,-123.487366,0.6798915029167422
37.569337,-123.701011,0.1183839659220949
37.602221,-123.932908,0.08720764258929975
37.571979,-124.041559,0.06697142380829049
37.574269,-124.168818,0.04318013989341195
37.396758,-124.255768,0.02542258913717565
37.700999,-124.336199,0.05030366054313486
38.320737,-124.483895,0.05952583194693082
39.023759,-124.655076,0.0643091621111824
40.467499,-125.34345,0.051868642476406636
40.546821,-125.491297,0.03148456911101539
40.998609,-127.025615,0.06994362680086248
40.934073,-126.869316,0.04766564620275632
41.005072,-126.824666,0.016568959002148338
40.925107,-126.830482,0.021573156526063467
40.817764,-126.793292,0.02696451780422027
41.174635,-127.042952,0.02976385621098768
41.073636,-126.980352,0.020485112337065032
41.011015,-126.824693,0.025363331834411227
41.090255,-126.974077,0.02234048077036552
41.00283,-127.049106,0.0499923743855239
40.894406,-127.083016,0.05171129958475858
40.268995,-127.289332,0.013640787151372236
40.55657,-127.192572,0.04799730563015402
40.976423,-127.021347,0.05336972018153604
41.1529,-126.997491,0.038536449920375936
41.682311,-126.934933,0.05444663541039772
42.199835,-126.834364,0.02852573605966511
42.619204,-126.712237,0.03999003703447489
43.18912,-126.672763,0.01686231517449276
43.886666,-126.602907,0.026975745923923405
35.447951,-121.900137,0.3730139125461687
35.509244,-121.884033,0.5054083629814371
36.027034,-121.757214,0.3362139079338969
36.085276,-121.75852,0.436338400665596
37.098632,-123.070677,0.3332439635331555
36.66626,-123.433897,0.10579993936150002
37.004345,-123.165931,0.2838599549974153
36.767681,-123.355804,0.13784367071807282
36.432473,-123.66114,0.07034492540215735
35.970434,-124.297472,0.03550482415487611
36.965918,-125.112605,0.008486325380469745
37.56089,-125.682014,0.050569546187868984
37.452074,-125.727984,0.049813827274681526
37.60007,-125.646183,0.018509756619197675
39.126568,-124.919604,0.14436593748301402
39.174893,-124.988154,0.12203415606976022
39.192883,-124.290444,0.3069262250142652
39.17818,-124.203524,0.28914899207351663
39.152867,-124.279599,0.226683109948297
38.948364,-125.26314,0.05993037335105098
38.864593,-125.307135,0.048791084907465
38.914193,-125.205583,0.06222283320331964
38.677825,-125.484007,0.053210973960542474
38.85659,-125.246481,0.06922541262296573
38.892046,-125.320484,0.04131467548686113
39.273372,-126.873814,0.0351524316104778
39.544584,-126.230722,0.041996956131338824
39.658647,-126.314803,0.042547844356464935
39.413353,-126.136218,0.02438317447267984
39.618,-126.182002,0.02933449253423494
39.603242,-126.148821,0.030008515535708477
39.393393,-125.746879,0.04114611199716746
40.31689,-126.128318,0.07711852282743221
40.941223,-126.353463,0.08343493658109512
41.24989,-126.539029,0.07484546483717582
41.332763,-126.569086,0.039300697841542345
41.313791,-126.639444,0.05774705113399115
41.510571,-126.367801,0.04838929676142348
